BlueCove version 2.1.0 on bluez
Connected to NXT15 001653150C10
Console open
SEGUNDO: 53
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 51
SEGUNDO: 49
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 47
SEGUNDO: 45
SEGUNDO: 44
SEGUNDO: 44
SEGUNDO: 42
SEGUNDO: 41
SEGUNDO: 41
PRIMEIRO: 39
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 39
SEGUNDO: 41
SEGUNDO: 42
SEGUNDO: 44
SEGUNDO: 45
SEGUNDO: 46
SEGUNDO: 49
SEGUNDO: 51
SEGUNDO: 52
SEGUNDO: 53
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 53
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 51
SEGUNDO: 49
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 45
SEGUNDO: 44
SEGUNDO: 43
SEGUNDO: 42
SEGUNDO: 41
SEGUNDO: 40
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 38
SEGUNDO: 40
SEGUNDO: 41
SEGUNDO: 42
SEGUNDO: 44
SEGUNDO: 47
SEGUNDO: 48
SEGUNDO: 50
SEGUNDO: 52
SEGUNDO: 53
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 50
SEGUNDO: 49
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 46
SEGUNDO: 45
SEGUNDO: 44
SEGUNDO: 43
SEGUNDO: 41
SEGUNDO: 40
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
SEGUNDO: 40
SEGUNDO: 41
SEGUNDO: 43
SEGUNDO: 46
SEGUNDO: 47
SEGUNDO: 49
SEGUNDO: 52
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 53
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 50
SEGUNDO: 50
SEGUNDO: 49
SEGUNDO: 48
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 46
SEGUNDO: 45
SEGUNDO: 45
SEGUNDO: 43
SEGUNDO: 43
SEGUNDO: 42
SEGUNDO: 41
SEGUNDO: 41
SEGUNDO: 40
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 39
SEGUNDO: 40
SEGUNDO: 42
SEGUNDO: 43
SEGUNDO: 48
SEGUNDO: 50
SEGUNDO: 51
SEGUNDO: 52
SEGUNDO: 53
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 52
SEGUNDO: 50
SEGUNDO: 49
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 46
SEGUNDO: 45
SEGUNDO: 43
SEGUNDO: 42
SEGUNDO: 42
SEGUNDO: 41
SEGUNDO: 40
PRIMEIRO: 39
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 39
SEGUNDO: 41
SEGUNDO: 42
SEGUNDO: 45
SEGUNDO: 48
SEGUNDO: 49
SEGUNDO: 50
SEGUNDO: 52
SEGUNDO: 53
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 50
SEGUNDO: 50
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 46
SEGUNDO: 45
SEGUNDO: 44
SEGUNDO: 42
SEGUNDO: 41
SEGUNDO: 40
SEGUNDO: 39
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 39
SEGUNDO: 42
SEGUNDO: 44
SEGUNDO: 45
SEGUNDO: 48
SEGUNDO: 51
SEGUNDO: 52
SEGUNDO: 53
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 57
SEGUNDO: 58
SEGUNDO: 58
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 58
SEGUNDO: 58
SEGUNDO: 57
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 52
SEGUNDO: 50
SEGUNDO: 49
SEGUNDO: 46
SEGUNDO: 45
SEGUNDO: 43
SEGUNDO: 42
SEGUNDO: 40
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 39
SEGUNDO: 41
SEGUNDO: 44
SEGUNDO: 46
SEGUNDO: 48
SEGUNDO: 52
SEGUNDO: 53
SEGUNDO: 56
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 58
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 59
SEGUNDO: 58
SEGUNDO: 58
SEGUNDO: 58
SEGUNDO: 58
SEGUNDO: 58
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 51
SEGUNDO: 50
SEGUNDO: 49
SEGUNDO: 47
SEGUNDO: 46
SEGUNDO: 44
SEGUNDO: 44
SEGUNDO: 42
SEGUNDO: 41
PRIMEIRO: 39
PRIMEIRO: 39
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
SEGUNDO: 40
SEGUNDO: 41
SEGUNDO: 42
SEGUNDO: 44
SEGUNDO: 45
SEGUNDO: 48
SEGUNDO: 51
SEGUNDO: 52
SEGUNDO: 53
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 51
SEGUNDO: 50
SEGUNDO: 49
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 46
SEGUNDO: 45
SEGUNDO: 44
SEGUNDO: 43
SEGUNDO: 43
SEGUNDO: 41
SEGUNDO: 40
SEGUNDO: 39
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 39
SEGUNDO: 41
SEGUNDO: 42
SEGUNDO: 45
SEGUNDO: 47
SEGUNDO: 50
SEGUNDO: 51
SEGUNDO: 52
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 57
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 51
SEGUNDO: 50
SEGUNDO: 49
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 45
SEGUNDO: 44
SEGUNDO: 43
SEGUNDO: 42
SEGUNDO: 41
PRIMEIRO: 39
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 38
SEGUNDO: 40
SEGUNDO: 43
SEGUNDO: 45
SEGUNDO: 46
SEGUNDO: 49
SEGUNDO: 51
SEGUNDO: 52
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 49
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 46
SEGUNDO: 45
SEGUNDO: 43
SEGUNDO: 42
SEGUNDO: 40
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 39
PRIMEIRO: 39
SEGUNDO: 40
SEGUNDO: 42
SEGUNDO: 43
SEGUNDO: 45
SEGUNDO: 47
SEGUNDO: 49
SEGUNDO: 51
SEGUNDO: 52
SEGUNDO: 53
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 56
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 50
SEGUNDO: 49
SEGUNDO: 48
SEGUNDO: 46
SEGUNDO: 45
SEGUNDO: 44
SEGUNDO: 42
SEGUNDO: 41
SEGUNDO: 39
PRIMEIRO: 39
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 38
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 36
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 37
PRIMEIRO: 38
PRIMEIRO: 39
SEGUNDO: 41
SEGUNDO: 44
SEGUNDO: 45
SEGUNDO: 46
SEGUNDO: 49
SEGUNDO: 50
SEGUNDO: 51
SEGUNDO: 52
SEGUNDO: 53
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 55
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 54
SEGUNDO: 53
SEGUNDO: 52
SEGUNDO: 52
SEGUNDO: 52
SEGUNDO: 51
SEGUNDO: 50
SEGUNDO: 50
SEGUNDO: 48
SEGUNDO: 47
SEGUNDO: 47
SEGUNDO: 45
SEGUNDO: 44
SEGUNDO: 44
SEGUNDO: 42
